"M78","M78 АБАЙ","Ташкент и Ташкентская область"
"M79","M79 ЮГНАКИ","Ташкент и Ташкентская область"
"M80","M80 Ц1","Ташкент и Ташкентская область"
"M81","M81 Ракят","Ташкент и Ташкентская область"
"M82","M82 ЧАЙКА (ЭРАМ)","Ташкент и Ташкентская область"
"M83","M83 Олимпия","Ташкент и Ташкентская область"
"M84","M84 Minor","Бухарская область"
"M85","M85 Корасув","Ташкент и Ташкентская область"
"M86","M86 Ганга","Ташкент и Ташкентская область"
"M87","M87 Фархадский","Ташкент и Ташкентская область"
"M88","M88 Уста Ширин","Ташкент и Ташкентская область"
"M89","M89 Мая Чилинзар","Ташкент и Ташкентская область"
"M90","M90 Атриум","Ташкент и Ташкентская область"
"M91","M91 16 Гор больница","Ташкент и Ташкентская область"
"M92","M92 Янги Хаёт","Ташкент и Ташкентская область"
"M93","M93 ОБЛ. ТТЗ","Ташкент и Ташкентская область"
"M94","M94 Ю Обод 6кв","Ташкент и Ташкентская область"
"M95","M95 Ок Сарой","Ташкент и Ташкентская область"
"M96","M96 Луначарский","Ташкент и Ташкентская область"
"M97","M97 Минор","Бухарская область"
"M98","M98 Бульвар","Бухарская область"
"M99","M99 Бахор","Бухарская область"
"M100","M100 Чуст","Наманганская область"
"M101","M101 Тановор Зенит","Ташкент и Ташкентская область"
"M102","M102 Медгородок","Ташкент и Ташкентская область"
"M103","M103 Парк Победа","Ташкент и Ташкентская область"
"M104","M104 МВД Академия","Ташкент и Ташкентская область"
"M105","M105 Тошкент маркет","Ташкент и Ташкентская область"
"M106","M106 Вузгородок","Ташкент и Ташкентская область"
"M107","M107 Комилон","Кашкадарьинская область"
"M108","M108 Саракулька","Ташкент и Ташкентская область"
"M109","M109 Дубовая","Ташкент и Ташкентская область"
"M110","M110 Юридич.К. 26кв","Ташкент и Ташкентская область"
"M111","M111 Циалковская","Ташкент и Ташкентская область"
"M112","M112 Аристократ","Джизакская область"
"M113","M113 Замин","Джизакская область"
"M117","M117 Сардоба","Ташкент и Ташкентская область"
"M115","M115 Кадышева","Ташкент и Ташкентская область"
"M114","M114 КЕЛЕС","Ташкент и Ташкентская область"
"M116","M116 ФАМИЛИ МАРКЕТ","Ташкент и Ташкентская область"
"M118","M118 МАЖИК СИТИ","Ташкент и Ташкентская область"
"M123","M123 КАГАН","Бухарская область"
"M122","M122 НУР","Ташкент и Ташкентская область"
"M124","M124 ТРАМВАЙ ДЕПО","Ташкент и Ташкентская область"
"M126","M126 КУШБЕГИ СУЛТАН","Ташкент и Ташкентская область"
"M127","M127 ТТЗ ТРЦ","Ташкент и Ташкентская область"
